2	1	53
3	1	170
4	1	68
5	1	29
6	1	90
7	1	50
8	1	49
9	1	5
10	1	5
11	1	194
0	1	45
3	2	81
4	2	61
5	2	90
6	2	149
7	2	61
8	2	4
9	2	82
10	2	26
11	2	05
0	2	32
4	3	34
5	3	117
6	3	104
7	3	52
8	3	01
9	3	181
10	3	05
11	3	8
0	3	41
5	4	25
6	4	26
7	4	2
8	4	89
9	4	65
10	4	49
11	4	34
0	4	5
6	5	17
7	5	13
8	5	106
9	5	16
10	5	32
11	5	113
0	5	26
7	6	20
8	6	181
9	6	65
10	6	89
11	6	80
0	6	45
8	7	85
9	7	45
10	7	37
11	7	52
0	7	5
9	8	82
10	8	26
11	8	173
0	8	52
10	9	16
11	9	193
0	9	50
11	10	153
0	10	26
0	11	53
